OBJECTID,description,tags,lat_wgs,lon_wgs,pov_exp,heading,orgid,nid,captions,scene,label
1,,GENERAL,30.519417667399999,114.201244513999995,2.000000000000000,30.000000000000000,10141003150524105621504.000000000000000,10141003150524105323600_right_285.jpg,a sign that is on the ground near a tree;a sign that is on the side of a tree;a sign that is on the side of the road;a sign that is on the side of the street;a sign that is on the ground next to a tree,a white bus driving down a street next to a tree ; a road with a car driving down the road ; a parking lot with a large building in the background ; a sign that is on the ground near a tree,4
12,汉西一路,GENERAL,30.588047208100001,114.215056179000001,2.000000000000000,269.000000000000000,10141003150331155054592.000000000000000,10141003150331155421600_right_129.jpg,a group of cars parked in front of a store;several cars parked in front of a store;a group of cars parked outside of a store;a group of cars parked in front of a building;a group of cars parked on the side of the road,a couple of cars that are sitting in the street ; a man riding a motorcycle down a city street ; a car driving down a street next to a train track ; a group of cars parked in front of a store,2
13,新火路,GENERAL,30.570721819300001,114.270298259000000,2.000000000000000,255.000000000000000,10141050150708142145536.000000000000000,10141050150708141625300_right_274.jpg,a store front with a large store front;a store front with a lot of windows;a store front with a large store front window;a store front with a man sitting on the floor;a store front with a man sitting on the outside of it,a busy street with many people walking around ; a city street with people walking on the sidewalk ; a wooden bench sitting inside of a building ; a store front with a large store front,6
14,,GENERAL,30.545901028000003,114.336177094000007,2.000000000000000,17.000000000000000,10141006121208142364672.000000000000000,10141006121208142915600_right_288.jpg,a large brick building with a tower in the center;a large brick wall with a tall building next to it;a large brick wall with a tall building in the background;a large brick building with a tower built into it;a large brick wall with a UNK in the center,a car parked on the side of the road ; a couple of people walking down a sidewalk ; graffiti on the side of a building ; a large brick building with a tower in the center,6
15,雪松路,GENERAL,30.594284748200003,114.260124582000003,2.000000000000000,82.000000000000000,10141050150701095714816.000000000000000,10141050150701095027000_right_323.jpg,a large building on the corner of a city street;a large building on the side of the street;a large building on the side of the road;a large building on the side of a street;a large building on the corner of a street,a group of people walking down a city street ; a group of people walking down a street ; a couple of people walking down a street ; a large building on the corner of a city street,6
16,工农兵路,GENERAL,30.620741489000000,114.299784918000000,2.000000000000000,288.000000000000000,10141050150728102838272.000000000000000,10141050150728103345100_right_140.jpg,a green bus parked in front of a building;a green bus parked outside of a building;a large green bus parked in front of a building;a large green bus parked next to a building;a bus parked in front of a building,a city street with tall buildings in the background ; a city street with cars parked on the side ; a row of motorcycles parked outside of a store ; a green bus parked in front of a building,3
17,,GENERAL,30.535435947600003,114.197371500000003,2.000000000000000,281.000000000000000,10141003150426145554432.000000000000000,10141003150426145042900_right_3.jpg,a sign on the side of a city street;a sign on the side of the street;a sign on the side of a building;a sign on the side of the road;a sign on the side of a building advertising UNK,a city street is shown with buildings in the background ; a view of a city from the street ; a small car parked on the side of the road ; a sign on the side of a city street,6
18,石牌岭路,GENERAL,30.522552111800000,114.335532814000004,2.000000000000000,191.000000000000000,10141003150324142178304.000000000000000,10141003150324142139000_right_297.jpg,a street that has a bunch of signs on it;a street that has a bunch of signs in it;a street corner with a building and a tree;a row of buildings with a street sign in front of them;a street corner with a brick wall and a tree,a city street with people walking on the sidewalk ; a bus driving down a street next to tall buildings ; a blue car parked in front of a tall building ; a street that has a bunch of signs on it,4
19,,GENERAL,30.571102207100001,114.203860558000002,2.000000000000000,200.000000000000000,10141050150712143511552.000000000000000,10141050150712143011100_right_300.jpg,a building with a lot of graffiti on it;a building with a lot of writing on it;a building with a lot of graffiti on the wall;a building with a lot of graffiti on the walls;a building with a lot of writing on the wall,a group of cars that are sitting in the street ; a person walking down a sidewalk next to parked cars ; a white car parked in front of a building ; a building with a lot of graffiti on it,6
20,江大路,GENERAL,30.618401337100000,114.292704810999993,2.000000000000000,125.000000000000000,10141058150822112657408.000000000000000,10141058150822112805600_right_213.jpg,a view of a street in front of a store;a street scene with a building and motorcycles;a view of a street in front of a building;a view of a street in front of a business;a view of a street in front of a restaurant,a city street with cars parked on the side ; a red car driving down a street next to tall buildings ; a car parked on the side of the street ; a view of a street in front of a store,8
21,北湖小路,GENERAL,30.605562301100001,114.260194483999996,2.000000000000000,274.000000000000000,10141050150711105421312.000000000000000,10141050150711104802400_right_233.jpg,a couple of red and white signs in front of a store;a couple of red and white signs and a building;a couple of red and white signs sitting in front of a store;a couple of red and white signs and some buildings;a couple of red and white signs in front of a store front,a man sitting on a bench on the sidewalk ; a city street with cars parked on the side ; a couple of cars parked in front of a building ; a couple of red and white signs in front of a store,-1
22,新湾路,GENERAL,30.637296446899999,114.250415257000000,2.000000000000000,249.000000000000000,10141050150618136576000.000000000000000,10141050150618135900300_right_134.jpg,a man riding a bike down a street next to a car;a man riding a bike down a city street;a man riding a bike down a street next to parked cars;a man riding a bike in front of a car;a man riding a bike down a street next to a silver car,a person on a motorcycle on a city street ; two people riding a scooter on a city street ; a silver car parked in front of a building ; a man riding a bike down a street next to a car,2
23,长云路,GENERAL,30.611721644500001,114.178103589000003,2.000000000000000,279.000000000000000,10141022121209110724608.000000000000000,10141022121209111352400_right_216.jpg,a car parked in front of a stone wall;a car parked next to a brick wall;a car parked in front of a stone building;a car parked in front of a brick wall;a silver car parked in front of a brick building,a white van parked in front of a building ; a car parked on the side of the road ; a building with a red roof and a red roof ; a car parked in front of a stone wall,6
24,芳草路,GENERAL,30.527013879300000,114.194447736000001,2.000000000000000,208.000000000000000,10141057150531141632000.000000000000000,10141057150531140757400_right_302.jpg,a person in an orange jacket is walking;a person in an orange jacket walking across a field;a person in an orange jacket walking across a dirt field;a person in an orange jacket is walking down the street;a person in an orange jacket and hat walking on a road,a red car driving down a street next to tall buildings ; a blue and white sign on the side of a road ; a large sign on the side of a road ; a person in an orange jacket is walking,8
25,四新路,GENERAL,30.588198030800001,114.211529756999994,2.000000000000000,23.000000000000000,10141022121209102336000.000000000000000,10141022121209101347100_right_294.jpg,a group of people walking down a street next to tall buildings;a group of people walking down a city street;a group of people walking across a street;a group of people walking down a sidewalk near tall buildings;a group of people walking down a sidewalk next to tall buildings,a group of cars driving under a bridge ; a city street filled with lots of traffic ; a truck parked in front of a building ; a group of people walking down a street next to tall buildings,-1
26,中山大道,GENERAL,30.571635447999999,114.255873421000004,2.000000000000000,255.000000000000000,10141050150708152631296.000000000000000,10141050150708153059900_right_260.jpg,cars driving down the road in a city;cars driving on a road in a city;a city street with cars parked along the side of the road;a city street with cars parked along the side of it;a city street with cars parked on the side,a group of cars that are sitting in the street ; a couple of cars parked in front of a building ; a group of people crossing a busy street ; cars driving down the road in a city,9
27,,GENERAL,30.573011880700001,114.188003535999997,2.000000000000000,148.000000000000000,10141058150713102696448.000000000000000,10141058150713102656400_right_246.jpg,a man standing in front of a store front;a man standing outside of a store front window;a man standing in front of a store front window;there is a man standing outside of a store;a man standing in front of a building next to boxes,a narrow street with a row of buildings ; a view of a street with a bunch of stuff on it ; a large sign on a building on a city street ; a man standing in front of a store front,11
28,东湖路,GENERAL,30.551751324300000,114.339062072000004,2.000000000000000,217.000000000000000,10141058150821110218752.000000000000000,10141058150821110444800_right_331.jpg,a person sitting on a bench under an umbrella;a man sitting on a bench under an umbrella;a man sitting on top of a bench under an umbrella;a man sitting on a bench under an umbrella on a sidewalk;a man sitting on a bench under an umbrella on the sidewalk,a view of a street from the side of a road ; a car driving down a street next to tall buildings ; a couple of people walking down a street ; a person sitting on a bench under an umbrella,-1
29,兴业南路,GENERAL,30.635395873600000,114.284182860000001,2.000000000000000,63.000000000000000,10141050150531104768000.000000000000000,10141050150531103836100_right_342.jpg,a couple of cars parked in front of a building;two cars parked in front of a building;a couple of cars parked on the side of the road;a blue car parked in front of a store;a blue car parked in front of a building,a group of cars driving down a city street ; a city street filled with lots of traffic ; a white building a tree a street and buildings ; a couple of cars parked in front of a building,8
30,顺道街,GENERAL,30.579063879000000,114.268049543999993,2.000000000000000,82.000000000000000,10141035140622109900800.000000000000000,10141035140622110801000_right_342.jpg,a white truck parked next to a building;a white truck driving down a street next to a building;a white truck driving down a street next to tall buildings;a white truck parked in front of a building;a white truck driving down a street next to buildings,a city street filled with lots of traffic ; a city street filled with lots of traffic ; a black car driving down a street next to tall buildings ; a white truck parked next to a building,-1
31,兰陵路,GENERAL,30.588287946200001,114.294009897999999,2.000000000000000,259.000000000000000,10141035140613100535808.000000000000000,10141035140613100258900_right_135.jpg,a group of people walking down a street;a group of people walking down a city street;a group of people walking down a city sidewalk;a group of people walking down a street next to tall buildings;a group of people walking down a street next to buildings,a person standing in front of a store window ; a van parked in front of a tall building ; a couple of cars that are sitting in the street ; a group of people walking down a street,6
32,首义路,GENERAL,30.538305845400000,114.303939784999997,2.000000000000000,330.000000000000000,10141003150323135545344.000000000000000,10141003150323135025800_right_353.jpg,a person riding a motorcycle down a city street;a person riding a scooter on a city street;a person is riding a scooter down the street;a person riding a scooter down a street;a person is riding a scooter down a street,a group of people walking down a sidewalk ; a white car driving down a street next to tall buildings ; a group of people that are standing in the street ; a person riding a motorcycle down a city street,2
33,,GENERAL,30.550080956599999,114.309803211000002,2.000000000000000,265.000000000000000,10141206130122104504320.000000000000000,10141206130122105136500_right_206.jpg,there is a window on the side of the building;there is a window on the side of a building;there is a window with bars on it;there is a window on the side of the house;there is a window on the side of a house,a couple of cars parked in front of a building ; a narrow city street with a large building ; a white car parked next to a building ; there is a window on the side of the building,6
34,紫湖村,GENERAL,30.531568191700000,114.296660008000003,2.000000000000000,298.000000000000000,10141006121203153240064.000000000000000,10141006121203152404400_right_64.jpg,a store front with a lot of food in it;a store front with a lot of items inside of it;a store front with a lot of food inside of it;a store front with a lot of items on the wall;a store front with a lot of food on the wall,a person sitting on a bench on the sidewalk ; a row of buildings on a city street ; a view of a building from a window ; a store front with a lot of food in it,6
35,粮道街,GENERAL,30.549054989700000,114.309724459999998,2.000000000000000,258.000000000000000,10141035140714101473280.000000000000000,10141035140714100739500_right_29.jpg,a white car parked in front of a store;a car parked in front of a store;a white car parked outside of a store;a white car parked in front of a building;a white car parked in front of a store front,a man riding a motorcycle down a city street ; a group of people walking down a city street ; a bike parked next to a tree on a sidewalk ; a white car parked in front of a store,2
36,古萧路,GENERAL,30.599763140699999,114.201188024999993,2.000000000000000,125.000000000000000,10141022121209133793280.000000000000000,10141022121209134425200_right_45.jpg,a blue truck parked in front of a building;a blue truck parked in front of a brick building;a blue truck parked on the side of a road;a blue truck parked on the side of the road;a blue truck parked on the side of a street,a row of buildings with graffiti on them ; an alley with a person walking down the street ; a city street with a building and parked cars ; an alley with a few buildings and people ; a brick building with a window and a door ; a pile of trash sitting in the middle of a street ; a wall with a bunch of signs on it ; a blue truck parked in front of a building,6
37,洲头二路,GENERAL,30.526529789200001,114.249384749000001,2.000000000000000,283.000000000000000,10141058150729131229184.000000000000000,10141058150729131653100_right_44.jpg,a couple of cars parked in front of a fence;a car parked in front of a fence;two cars parked in front of a fence;a silver car parked in front of a fence;a couple of cars parked in front of a building,a city street filled with lots of traffic ; a group of cars parked on the side of the street ; a store front window with a box of food in front of it ; a couple of cars parked in front of a fence,6
38,,GENERAL,30.629177127100000,114.253908064000001,2.000000000000000,200.000000000000000,10141003150426135068672.000000000000000,10141003150426134958600_right_85.jpg,a car parked on the side of the road;a car parked on the side of the street;a car parked on the side of a street;a car parked in front of a store on the street;a car parked in front of a store on a city street,a city street filled with lots of traffic ; a truck parked on the side of the road ; a group of cars parked in front of a store ; a car parked on the side of the road,6
39,汉西三路,GENERAL,30.602672165600001,114.214937011000004,2.000000000000000,324.000000000000000,10141103150611161939968.000000000000000,10141103150611161835000_right_239.jpg,a white van parked in front of a store;a white van parked on the side of a street;a white van parked on the side of the road;a white truck parked on the side of a street;a white van parked on the side of a road,a car parked on the side of the road ; a street scene with cars and people on bicycles ; a white truck driving down a street next to tall buildings ; a white van parked in front of a store,8
40,,GENERAL,30.581519996899999,114.217639039999995,2.000000000000000,236.000000000000000,10141022130105112068096.000000000000000,10141022130105111509900_right_294.jpg,a view of a city skyline from a bridge;a view of a city skyline from across a bridge;a view of a city skyline from across the city;a view of a city skyline from across the water;a view of a city skyline with a bridge in the background,a street sign on a bridge with buildings in the background ; a view of a city street from a vehicle ; a view of a building from the street ; a view of a city skyline from a bridge,6
41,,GENERAL,30.552255537000001,114.201846395999993,2.000000000000000,184.000000000000000,10141058150721105428480.000000000000000,10141058150721104524700_right_32.jpg,a brick building with a tree in front of it;a large brick building behind a metal fence;a large brick building behind a metal gate;a brick building with a tree in front of the building;a large building with a window and a tree,an empty street with a building in the background ; a narrow street in the middle of a city ; a concrete wall in the middle of a city ; a brick building with a tree in front of it,0
42,京汉大道,GENERAL,30.576134328500000,114.255328929000001,2.000000000000000,53.000000000000000,10141003150612104216576.000000000000000,10141003150612105214900_right_102.jpg,a group of cars parked on a city street;a group of cars parked on the side of the street;a group of cars parked on the side of a road;a group of cars parked on the side of the road;a group of cars parked on the side of a street,a city street filled with traffic and tall buildings ; a view of the side walk of a city street ; a person on a motorcycle on a city street ; a group of cars parked on a city street,2
43,,GENERAL,30.627774776700001,114.244794786000000,2.000000000000000,241.000000000000000,10141019131231116197888.000000000000000,10141019131231115343700_right_73.jpg,a bunch of boxes sitting on the side of a road;a bunch of boxes that are outside of a building;a bunch of boxes sitting on the side of a street;a bunch of boxes that are outside of a store;a bunch of boxes on the side of the street,a group of cars parked on the side of a road ; a group of buses parked in front of a building ; a man walking down a street past tall buildings ; a bunch of boxes sitting on the side of a road,11
44,,GENERAL,30.639328317099999,114.297725456999999,2.000000000000000,254.000000000000000,10141050150531115253760.000000000000000,10141050150531114505800_right_339.jpg,a building with many signs on the wall;a building with many signs hanging on the wall;a building with many signs on the walls;a brick wall with signs hanging from it;a building with many signs on the wall and around it,a group of people walking down a sidewalk ; a woman is walking down a narrow street ; a woman standing in front of a store ; a building with many signs on the wall,1
45,中山路,GENERAL,30.549638916300001,114.312653096000005,2.000000000000000,296.000000000000000,10141003150325102673920.000000000000000,10141003150325101635000_right_251.jpg,a white van parked in front of a store;a silver van parked in front of a store;a white truck parked in front of a store;a silver van parked in front of a building;a white van parked on the side of the road,a yellow car driving down a city street ; a city street filled with lots of traffic ; a bus driving down a street next to tall buildings ; a white van parked in front of a store,4
46,瑞景路,GENERAL,30.523642039599999,114.326433718999994,2.000000000000000,281.000000000000000,10141003150510134394880.000000000000000,10141003150510134408500_right_187.jpg,a sign on a pole on a sidewalk;a sign on a pole near a building;a sign on a pole on a city street;there is a sign on a pole on the street;there is a sign on a pole on the sidewalk,a city street filled with traffic and tall buildings ; cars are parked on the side of the road ; a couple of cars parked in front of a store ; a sign on a pole on a sidewalk,6
47,中北路,GENERAL,30.556754526799999,114.336326650999993,2.000000000000000,22.000000000000000,10141019140103130316800.000000000000000,10141019140103130106100_right_329.jpg,a man walking down a street next to tall buildings;a man walking down a street next to a tall building;a man walking down a sidewalk next to a tall building;a man walking down a sidewalk in front of tall buildings;a man walking down a sidewalk in front of a building,a white car driving down a street next to tall buildings ; a giant sculpture sitting on the side of a road ; a city street with buildings and people walking ; a man walking down a street next to tall buildings,10
48,游艺路,GENERAL,30.578142005400000,114.269009009000001,2.000000000000000,290.000000000000000,10141050150702114930688.000000000000000,10141050150702114422800_right_49.jpg,a couple of people standing next to a building;a couple of people standing in front of a building;a street scene with people walking around it;a couple of people standing in front of a store;a couple of people standing next to each other in front of a building,a woman riding a bike down a city street ; a city street with cars and people on the sidewalk ; a person riding a bike in front of a store ; a couple of people standing next to a building,-1
49,惠济一路,GENERAL,30.615303000500003,114.281505761999995,2.000000000000000,150.000000000000000,10141029121219140517888.000000000000000,10141029121219140107500_right_216.jpg,a couple of cars parked on a city street;a couple of cars parked on the side of a street;a white car driving down a street next to tall buildings;a white car driving down a street past tall buildings;a white car parked on the side of a street,a person riding a motorcycle on a city street ; a city street with people walking down it ; a street sign in front of a building ; a couple of cars parked on a city street,2
50,,GENERAL,30.536397334400000,114.247013268000003,2.000000000000000,226.000000000000000,10141003150524160147456.000000000000000,10141003150524161052700_right_317.jpg,a store front with a car parked in front of it;a store front with a car parked outside;a store front with a car parked outside of it;a store front with a car parked outside it;a store front with a car parked in front,two people riding a scooter down a city street ; a city street with buildings and street lights ; a street scene with a building in the background ; a store front with a car parked in front of it,-1
51,建港路,GENERAL,30.529088826100001,114.249732413999993,2.000000000000000,222.000000000000000,10141014121017094701056.000000000000000,10141014121017095715700_right_224.jpg,a group of people standing outside of a building;a group of people sitting outside of a building;a group of people standing around a building;a group of men sitting outside of a building;a couple of people that are sitting in front of a building,a man riding a motorcycle down a street ; a car parked on the side of the road ; a bus parked on the side of the road ; a group of people standing outside of a building,2
52,香江西路,GENERAL,30.607570488800000,114.274422856000001,2.000000000000000,171.000000000000000,10141050150701162823680.000000000000000,10141050150701163002200_right_83.jpg,a street scene with a man sitting in a chair;a city street with a man sitting in a chair;a city street with a man sitting on a bench;a city street with a man sitting on a chair;a street scene with a man sitting in a chair and trash can,a row of buildings on a city street ; a couple of people standing outside of a building ; a street scene with a person walking on the sidewalk ; a street scene with a man sitting in a chair,-1
53,万松园路,GENERAL,30.585174809800002,114.263213175999994,2.000000000000000,205.000000000000000,10141050150624115556352.000000000000000,10141050150624115523800_right_251.jpg,a brick wall in front of a brick building;a row of buildings with a brick wall;a brick wall in front of a store;a brick wall in front of a building;a brick wall in front of a brick wall,a street with cars parked on the side of it ; a red car driving down a street next to tall buildings ; a row of bicycles parked in front of a store ; a brick wall in front of a brick building,8
54,腰路堤路,GENERAL,30.544417256799999,114.264962194000006,2.000000000000000,137.000000000000000,10141003150521154928640.000000000000000,10141003150521155018100_right_209.jpg,a couple of buildings that have signs on them;a couple of buildings that are next to a street;a couple of buildings that are next to a tree;a couple of buildings that are next to each other;a couple of buildings that have a tree in front of them,a view of a city street from a distance ; a couple of cars that are sitting in the street ; a street with tall buildings in the background ; a couple of buildings that have signs on them,6
55,台东路,GENERAL,30.596772328499998,114.284153797000002,2.000000000000000,50.000000000000000,10141050150624111362048.000000000000000,10141050150624111633300_right_357.jpg,a motorcycle parked on the side of the street;a motorcycle parked on the side of the road;a motorcycle parked on the side of a street;a motorcycle is parked on the side of the street;a motorcycle parked on the side of a city street,a view of a street with people walking down it ; a white and blue bus driving down a street ; a city street with buildings in the background ; a motorcycle parked on the side of the street,2
56,,GENERAL,30.505763162000001,114.283386854000000,2.000000000000000,38.000000000000000,10141019131028151730176.000000000000000,10141019131028151324800_right_131.jpg,a building with a door on the outside of it;a building with a door on the outside;a building with a door on the side of it;a building with a door on the outside of it is open;a building with a door on the outside of it and a person standing outside,an empty street with a blue building next to it ; a person riding a bike down a city street ; a group of train tracks sitting next to each other ; a building with a door on the outside of it,0
57,,GENERAL,30.612727616300010,114.178305023999997,2.000000000000000,99.000000000000000,10141022121211111407616.000000000000000,10141022121211110522400_right_31.jpg,a pile of garbage sitting in front of a building;a pile of garbage sitting in front of a window;a pile of trash in front of a building;a pile of trash sitting next to a pile of garbage;a pile of trash sitting next to a pile of trash,a person riding a skate board on a city street ; a man standing next to a pile of garbage ; a brick building with a red door and two windows ; a pile of garbage sitting in front of a building,-1
58,,GENERAL,30.488754490600002,114.264523760000003,2.000000000000000,215.000000000000000,10141003150425122144256.000000000000000,10141003150425122852900_right_316.jpg,a grassy field in front of a city skyline;a large city with tall buildings in the background;a grassy area with a city skyline in the background;a large city with tall buildings and a large field;a large city with tall buildings and a large grassy field,a person standing on the side of a road ; a bus parked on the side of a road ; a view of a building from a window ; a grassy field in front of a city skyline,3
59,长堤街,GENERAL,30.570393543100000,114.265265131000007,2.000000000000000,223.000000000000000,10141050150708150534144.000000000000000,10141050150708150946300_right_178.jpg,a couple of people walking down a street;a couple of people walking down a city street;a couple of people standing outside of a store;a couple of people walking down a sidewalk;a couple of people standing outside of a store window,a man riding a bike down a narrow street ; a man riding a scooter down a street ; a man standing outside of a building next to a purple umbrella ; a couple of people walking down a street,2
60,民主一路,GENERAL,30.550065217899999,114.314162077999995,2.000000000000000,312.000000000000000,10141003150507122884608.000000000000000,10141003150507122603200_right_106.jpg,a store front with asian writing on the wall;a store front with asian writing on the outside;a store front with asian writing on the walls;a store front with asian writing on the front of it;a store front with asian writing on the outside of it,a busy street with many signs on the buildings ; a busy street with many cars and people walking ; a white van parked in front of a store ; a store front with asian writing on the wall,6
61,兴国北路,GENERAL,30.565943809600000,114.346820101000006,2.000000000000000,116.000000000000000,10141003150429115121664.000000000000000,10141003150429114540000_right_40.jpg,a view of a building from across the street;a car parked in front of a building;a car parked in front of a building next to a sidewalk;a car parked in front of a building next to a street;a car parked in front of a building near a fence,a group of cars that are sitting in the street ; a truck driving down a street next to tall buildings ; a large brick building on a city street ; a view of a building from across the street,9
62,,GENERAL,30.515959137500001,114.203796002999994,2.000000000000000,93.000000000000000,10141003150524101427200.000000000000000,10141003150524101313600_right_232.jpg,a row of buildings in a city;a street with a fence and trees in the background;a row of buildings with a fence around them;a street with a fence and trees on the side;a street with a fence and trees in front of a building,an empty street with a fence between two buildings ; a city street with tall buildings in the background ; a fenced in area with a large city in the background ; a row of buildings in a city,0
63,俊才街,GENERAL,30.621477625900003,114.275350372000005,2.000000000000000,313.000000000000000,10141050150530100232192.000000000000000,10141050150530100804000_right_75.jpg,a man riding a bike down a street;a man riding a bike down a city street;a man riding a bike down a busy street;a man riding a bike down a sidewalk next to a train;a man riding a bike down a sidewalk next to a bus,a bus driving down a street next to tall buildings ; a car driving down a street next to buildings ; a person walking down a street near a tree ; a man riding a bike down a street,2
64,宝裕路,GENERAL,30.578386163000001,114.256704604000006,2.000000000000000,300.000000000000000,10141013130122123804672.000000000000000,10141013130122123402300_right_123.jpg,a white truck parked next to a building;a truck parked in front of a building;a white van parked in front of a tall building;a white truck parked in front of a building;a white van parked in front of a building,a street scene with people walking on the sidewalk ; a group of people walking down a sidewalk ; a group of cars parked on the side of a street ; a white truck parked next to a building,6
65,,GENERAL,30.557975072200001,114.343800942000001,2.000000000000000,104.000000000000000,10141058150821114413056.000000000000000,10141058150821115032200_right_302.jpg,a street sign with a building in the background;a street with a street sign and a building in the background;a street with a street sign that reads UNK;a street with a street sign that says UNK;a street sign with a building in the background and trees in the background,two people riding a motorcycle down a city street ; a road with a few cars driving down it ; a white car driving down a city street ; a street sign with a building in the background,2
66,,GENERAL,30.576547816600002,114.255841641999993,2.000000000000000,295.000000000000000,10141050150512154902528.000000000000000,10141050150512155148000_right_339.jpg,a group of people walking down a street;a group of people walking down the street;a group of people walking down a street next to traffic lights;a group of people walking down a street next to buildings;a group of people walking down a street next to tall buildings,a person walking down a sidewalk near a car ; a black and white photo of a person crossing the street ; a group of people that are standing in the street ; a group of people walking down a street,6
67,,GENERAL,30.577885661300002,114.258508856999995,2.000000000000000,337.000000000000000,10141050150702112833536.000000000000000,10141050150702113424500_right_22.jpg,a city street filled with lots of traffic;a couple of cars parked in front of a building;a city street filled with lots of wooden benches;a bunch of benches that are in a city;a group of benches sitting in the middle of a city,a man standing in the middle of a street ; a car driving down a street past tall buildings ; a room filled with a bed and other buildings ; a city street filled with lots of traffic,10
